Stock Symbol,Company Name,ISIN Code,Action,Quantity,Transaction Price,Brokerage,Transaction Charges,StampDuty,Segment,STT Paid/Not Paid,Remarks,Transaction Date,Exchange,
REFIND,REFEX INDUSTRIES LIMITED,INE056I01025,Buy,1,149.50,1.32,0.00,0.00,Rolling,STT Paid,icicidirect,12-Oct-2021,NSE,
REFIND,REFEX INDUSTRIES LIMITED,INE056I01025,Buy,1,149.50,1.32,0.00,0.00,Rolling,STT Paid,icicidirect,12-Oct-2021,NSE,
REFIND,REFEX INDUSTRIES LIMITED,INE056I01025,Sell,2,176.10,3.12,0.01,0.00,Rolling,STT Paid,icicidirect,13-Sep-2022,NSE,
RELIND,RELIANCE INDUSTRIES,INE002A01018,Buy,1,2553.55,22.61,0.05,0.00,Rolling,STT Paid,icicidirect,28-Sep-2021,NSE,
RELIND,RELIANCE INDUSTRIES,INE002A01018,Buy,1,2346.60,20.78,0.08,0.00,TT,STT Paid,icicidirect,16-Oct-2023,NSE,
RELIND,RELIANCE INDUSTRIES,INE002A01018,Sell,1,2490.00,6.48,0.07,0.00,TT,STT Paid,icicidirect,15-Dec-2023,BSE,
RELIND,RELIANCE INDUSTRIES,INE002A01018,Sell,1,2655.70,6.91,0.07,0.00,TT,STT Paid,icicidirect,11-Jan-2024,BSE,
RELIND,RELIANCE INDUSTRIES,INE002A01018,Buy,1,1580.00,4.11,0.05,0.00,TT,STT Paid,icicidirect,02-Jan-2026,NSE,
RELIND,RELIANCE INDUSTRIES,INE002A01018,Buy,2,1507.40,7.84,0.10,0.00,TT,STT Paid,icicidirect,06-Jan-2026,NSE,
RELIND,RELIANCE INDUSTRIES,INE002A01018,Buy,2,1410.70,7.34,0.09,0.42,TT,STT Paid,icicidirect,20-Jan-2026,NSE,
RELNIP,NIPPON LIFE IND ASSET MANAGEME,INE298J01013,Buy,4,273.50,9.69,0.03,0.00,Rolling,STT Paid,icicidirect,26-Sep-2022,NSE,
RELNIP,NIPPON LIFE IND ASSET MANAGEME,INE298J01013,Sell,1,335.00,2.97,0.01,0.00,TT,STT Paid,icicidirect,04-Oct-2023,BSE,
RELNIP,NIPPON LIFE IND ASSET MANAGEME,INE298J01013,Sell,2,389.05,6.89,0.02,0.00,TT,STT Paid,icicidirect,16-Oct-2023,BSE,
RELNIP,NIPPON LIFE IND ASSET MANAGEME,INE298J01013,Sell,1,398.00,1.04,0.01,0.00,TT,STT Paid,icicidirect,10-Nov-2023,NSE,
RKSWA,R K SWAMY LIMITED,INE0NQ801033,Buy,1,269.00,0.70,0.01,0.04,TT,STT Paid,icicidirect,01-Jul-2024,NSE,
RKSWA,R K SWAMY LIMITED,INE0NQ801033,Buy,2,227.89,1.19,0.01,0.07,TT,STT Paid,icicidirect,13-Nov-2024,NSE,
SAIL,STEEL AUTHORITY OF INDIA LTD,INE114A01011,Buy,4,84.40,2.99,0.01,0.05,TT,STT Paid,icicidirect,21-Aug-2023,NSE,
SAIL,STEEL AUTHORITY OF INDIA LTD,INE114A01011,Sell,1,89.60,0.23,0.00,0.00,TT,STT Paid,icicidirect,13-Nov-2023,BSE,
SAIL,STEEL AUTHORITY OF INDIA LTD,INE114A01011,Sell,1,94.50,0.25,0.00,0.00,TT,STT Paid,icicidirect,04-Dec-2023,BSE,
SAIL,STEEL AUTHORITY OF INDIA LTD,INE114A01011,Sell,1,100.29,0.26,0.00,0.00,TT,STT Paid,icicidirect,07-Dec-2023,BSE,
SAIL,STEEL AUTHORITY OF INDIA LTD,INE114A01011,Sell,1,111.39,0.29,0.00,0.00,TT,STT Paid,icicidirect,15-Dec-2023,BSE,
SAIL,STEEL AUTHORITY OF INDIA LTD,INE114A01011,Buy,5,150.42,1.96,0.02,0.00,TT,STT Paid,icicidirect,05-Jan-2026,NSE,
SBICAR,SBI CARDS AND PAYMENT SERV LTD,INE018E01016,Buy,2,718.00,12.72,0.05,0.00,TT,STT Paid,icicidirect,31-Jan-2023,NSE,
SBICAR,SBI CARDS AND PAYMENT SERV LTD,INE018E01016,Sell,1,795.00,7.04,0.02,0.00,TT,STT Paid,icicidirect,04-May-2023,NSE,
SBICAR,SBI CARDS AND PAYMENT SERV LTD,INE018E01016,Sell,1,866.10,7.67,0.02,0.00,TT,STT Paid,icicidirect,12-May-2023,BSE,
SBICAR,SBI CARDS AND PAYMENT SERV LTD,INE018E01016,Buy,1,802.45,7.11,0.03,0.00,TT,STT Paid,icicidirect,17-Oct-2023,NSE,
SBICAR,SBI CARDS AND PAYMENT SERV LTD,INE018E01016,Buy,1,734.00,1.91,0.02,0.00,TT,STT Paid,icicidirect,20-Nov-2023,BSE,
SBICAR,SBI CARDS AND PAYMENT SERV LTD,INE018E01016,Buy,1,712.00,1.85,0.02,0.00,TT,STT Paid,icicidirect,05-Feb-2024,NSE,
SBICAR,SBI CARDS AND PAYMENT SERV LTD,INE018E01016,Buy,5,709.95,0.00,0.00,0.00,TT,STT Paid,icicidirect,04-Jun-2024,BSE,
SBICAR,SBI CARDS AND PAYMENT SERV LTD,INE018E01016,Buy,5,679.25,8.84,0.11,0.51,TT,STT Paid,icicidirect,13-Nov-2024,NSE,
SBICAR,SBI CARDS AND PAYMENT SERV LTD,INE018E01016,Sell,1,869.45,2.26,0.03,0.00,TT,STT Paid,icicidirect,24-Dec-2025,BSE,
SBIGOL,SBI-ETF GOLD,INF200KA16D8,Buy,10,116.75,3.04,0.05,0.18,TT,STT Not Paid,icicidirect,24-Dec-2025,BSE,
SBISIL,SBI SILVER ETF,INF200KB1217,Buy,10,246.00,6.40,0.08,0.00,TT,STT Paid,icicidirect,29-Dec-2025,NSE,
SBISIL,SBI SILVER ETF,INF200KB1217,Buy,38,246.00,24.32,0.30,0.00,TT,STT Paid,icicidirect,29-Dec-2025,NSE,
SBISIL,SBI SILVER ETF,INF200KB1217,Buy,62,245.99,39.68,0.48,4.01,TT,STT Paid,icicidirect,29-Dec-2025,NSE,
