Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
FSNECO,FSN ECOMMERCE VENTURES NYKAA,INE388Y01029,0,0.00,241.60,- 0.02,0.00,0.00,33.26,0.00,0.00,
FUTVEN,FUTURE CONSUMER LIMITED,INE220J01025,0,0.00,0.38, 0.00,0.00,0.00,(3.95),0.00,0.00,
GAIL,GAIL (INDIA) LIMITED,INE129A01019,0,0.00,162.35,- 0.20,0.00,0.00,21.61,0.00,0.00,
GOLDEX,NIPPON INDIA ETF GOLD BEES,INF204KB17I5,290,132.40,134.97, 0.00,38396.00,39141.30,23.96,745.30,1.94,
GOPSNA,GOPAL SNACKS LTD,INE0L9R01028,10,276.00,298.40,+ 0.15,2760.00,2984.00,162.77,224.00,8.12,
GSPL,GUJARAT STATE PETRONET LIMITED,INE246F01010,0,0.00,304.00,+ 2.22,0.00,0.00,139.28,0.00,0.00,
GUJGA,GUJARAT GAS LIMITED,INE844O01030,0,0.00,400.50,+ 0.30,0.00,0.00,332.87,0.00,0.00,
HDFBAN,HDFC BANK LIMITED,INE040A01034,0,0.00,921.00,+ 0.07,0.00,0.00,(58.22),0.00,0.00,
HDFGOL,HDFC GOLD ETF,INF179KC1981,551,118.57,139.57, 0.00,65332.07,76903.07,0.00,11571.00,17.71,
HDFSIL,HDFC SILVER ETF,INF179KC1DI2,10,238.75,311.68, 0.00,2387.50,3116.80,0.00,729.30,30.55,
HDFSTA,HDFC LIFE INSURANCE COM LTD,INE795G01014,1,595.45,723.00,- 0.19,595.45,723.00,142.94,127.55,21.42,
HERHON,HERO MOTOCORP LIMITED,INE158A01026,2,4247.47,5531.00,- 0.14,8494.94,11062.00,0.00,2567.06,30.22,
HINCOP,HINDUSTAN COPPER LIMITED,INE531E01026,2,519.42,558.00,+ 0.13,1038.84,1116.00,0.00,77.16,7.43,
HINDAL,HINDALCO INDUSTRIES LIMITED,INE038A01020,0,0.00,940.00,+ 0.09,0.00,0.00,892.21,0.00,0.00,
HINOIL,HINDUSTAN OIL EXPLORATION CO,INE345A01011,2,141.86,140.10,- 0.77,283.72,280.20,46.45,-3.52,(1.24),
HINPET,HINDUSTAN PETROLEUM CORP,INE094A01015,0,0.00,430.40,+ 0.31,0.00,0.00,275.81,0.00,0.00,
HUDCO,HOUSING URBAN DEV CO LTD HUDCO,INE031A01017,0,0.00,203.90,+ 0.37,0.00,0.00,69.80,0.00,0.00,
ICI100,ICICI PRUDENTIAL NIFTY 100 ETF,INF109KC16V9,10,29.73,28.52, 0.00,297.30,285.20,0.00,-12.10,(4.07),
ICIBAN,ICICI BANK LIMITED,INE090A01021,0,0.00,1346.90,- 0.16,0.00,0.00,417.93,0.00,0.00,
ICIGOL,ICICI PRUDENTIAL GOLD ETF,INF109KC1NT3,25,123.08,137.27, 0.00,3077.00,3431.75,0.00,354.75,11.53,
ICINIF,ICICI PRUDENTIAL NIFTY 50 ETF,INF109K012R6,5,293.83,283.53, 0.00,1469.15,1417.65,0.00,-51.50,(3.51),
IDBI,IDBI BANK LIMITED,INE008A01015,0,0.00,98.40,+ 0.20,0.00,0.00,7.45,0.00,0.00,
IDFBAN,IDFC FIRST BANK LIMITED,INE092T01019,9,53.69,81.45,- 0.07,483.21,733.05,72.14,249.84,51.70,
INDBA,INDUSIND BANK LIMITED,INE095A01012,5,1062.44,905.05,- 0.23,5312.20,4525.25,0.00,-786.95,(14.81),
INDGAS,INDRAPRASHTHA GAS LTD,INE203G01027,46,177.54,176.68,+ 0.14,8166.84,8127.28,286.46,-39.56,(0.48),
INDLTD,INDEGENE LTD,INE065X01017,0,0.00,478.00,- 0.58,0.00,0.00,117.69,0.00,0.00,
INDOIL,INDIAN OIL CORPORATION LIMITED,INE242A01010,0,0.00,158.86,+ 0.03,0.00,0.00,397.20,0.00,0.00,
INDPES,INDIA PESTICIDES LIMITED,INE0D6701023,18,187.68,152.80,+ 0.14,3378.24,2750.40,0.00,-627.84,(18.58),
INDR,INDIAN RAILWAY FIN CORP LTD,INE053F01010,0,0.00,115.64,+ 0.43,0.00,0.00,139.27,0.00,0.00,
INDREN,INDIAN RENEW. ENG.DEV. AGY LTD,INE202E01016,40,32.00,127.88,+ 0.39,1280.00,5115.20,36595.61,3835.20,299.63,
INFTEC,INFOSYS LTD,INE009A01021,1,1758.43,1655.10,+ 0.04,1758.43,1655.10,0.00,-103.33,(5.88),
INTAVI,INTERGLOBE AVIATION LIMITED,INE646L01027,2,4955.46,4857.00,- 0.01,9910.92,9714.00,0.00,-196.92,(1.99),
IRMENE,IRM ENERGY LIMITED,INE07U701015,9,481.61,239.10,- 0.48,4334.49,2151.90,(302.39),-2182.59,(50.35),
ITC,ITC LIMITED,INE154A01025,71,368.35,325.05,+ 0.09,26152.85,23078.55,0.00,-3074.30,(11.76),
JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,10,219.31,263.50,+ 0.09,2193.10,2635.00,461.76,441.90,20.15,
KALJEW,KALYAN JEWELLERS INDIA LIMITED,INE303R01014,0,0.00,397.20,+ 0.16,0.00,0.00,41.47,0.00,0.00,
KIRIDY,KIRI INDUSTRIES LIMITED,INE415I01015,0,0.00,476.00,+ 0.85,0.00,0.00,110.32,0.00,0.00,
KOTGOL,KOTAK  GOLD ETF,INF174KA1HJ8,1120,102.21,133.37, 0.00,114475.20,149374.40,0.00,34899.20,30.49,
KOTMAH,KOTAK MAHINDRA BANK LTD,INE237A01036,10,356.28,421.30,- 0.07,3562.80,4213.00,0.00,650.20,18.25,
KOTSIL,Kotak Silver ETF,INF174KA1KU9,10,302.23,304.69, 0.00,3022.30,3046.90,0.00,24.60,0.81,
KROLAB,KRONOX LAB SCIENCES LIMITED,INE0ATZ01017,0,0.00,122.91,+ 2.84,0.00,0.00,37.07,0.00,0.00,
LIC,LIFE INSURANCE CORP OF IND LIC,INE0J1Y01017,0,0.00,809.05,- 0.06,0.00,0.00,68.22,0.00,0.00,
MADCOP,MADHAV COPPER LIMITED,INE813V01022,2,65.13,93.20, 0.00,130.26,186.40,0.00,56.14,43.10,
MAHGAS,MAHANAGAR GAS LIMITED,INE002S01010,1,1084.40,1107.00,+ 0.06,1084.40,1107.00,0.00,22.60,2.08,
MAHLO,MAHINDRA LOGISTICS LIMITED,INE766P01016,0,0.00,283.50,+ 0.14,0.00,0.00,57.04,0.00,0.00,
MANAFI,MANAPPURAM FINANCE LIMITED,INE522D01027,0,0.00,299.60,+ 0.35,0.00,0.00,1001.30,0.00,0.00,
MOTGTF,MOTILAL OSWAL GOLD ETF,INF247L01FY4,25,137.07,155.85, 0.00,3426.75,3896.25,0.00,469.50,13.70,
MOTSIL,MOTILAL OSWAL SILVER ETF,INF247L01FZ1,10,245.57,311.75, 0.00,2455.70,3117.50,0.00,661.80,26.95,
MOTSU,MOTHERSON SUMI WIRING IND LTD,INE0FS801015,5,47.09,44.55,+ 0.13,235.45,222.75,4.02,-12.70,(5.39),
MOTSUM,SAMVARDHANA MOTHERSON INT LTD,INE775A01035,0,0.00,109.79,+ 0.11,0.00,0.00,148.59,0.00,0.00,
NAVCOR,NAVKAR CORPORATION LIMITED,INE278M01019,0,0.00,98.39,+ 1.59,0.00,0.00,22.19,0.00,0.00,
NBCC,NBCC (INDIA) LIMITED,INE095N01031,4,108.73,97.50,+ 0.84,434.92,390.00,0.00,-44.92,(10.33),
NIFBEE,NIPPON INDIA ETF NIFTY 50 BEES,INF204KB14I2,10,279.41,284.95, 0.00,2794.10,2849.50,283.24,55.40,1.98,
NIPSIL,NIPPON INDIA SILVER ETF,INF204KC1402,155,238.58,310.68, 0.00,36979.90,48155.40,0.00,11175.50,30.22,
NIVMER,STARTECK FINANCE LIMITED,INE992I01013,0,0.00,271.80,+ 0.93,0.00,0.00,(71.74),0.00,0.00,
NMDSTE,NMDC STEEL LIMITED,INE0NNS01018,0,0.00,39.70,+ 0.03,0.00,0.00,8.69,0.00,0.00,
NTPC,NTPC LIMITED,INE733E01010,3,325.00,338.50,- 0.06,975.00,1015.50,0.00,40.50,4.15,
ONGC,OIL AND NATURAL GAS CORPORATIO,INE213A01029,10,235.18,242.42,+ 0.02,2351.80,2424.20,75.38,72.40,3.08,
PARDEF,PARAS DEFENCE AND SPACE TECH,INE045601023,0,0.00,629.85,+ 0.99,0.00,0.00,296.46,0.00,0.00,
PARMIL,PARAG MILK FOODS LIMITED,INE883N01014,0,0.00,257.75,+ 0.29,0.00,0.00,7.60,0.00,0.00,
PARPHA,PARMAX PHARMA LIMITED,INE240T01014,2,29.31,34.52, 0.00,58.62,69.04,65.46,10.42,17.78,
PARPHO,PARADEEP PHOSPHATES LIMITED,INE088F01024,0,0.00,130.50,+ 0.22,0.00,0.00,8.83,0.00,0.00,
PCJEW,PC JEWELLER LIMITED,INE785M01021,8,11.23,10.51,+ 0.10,89.84,84.08,61.00,-5.76,(6.41),
PIDIND,PIDILITE INDUSTRIES LTD,INE318A01026,0,0.00,1419.40,- 0.17,0.00,0.00,547.33,0.00,0.00,
PLAWIR,PLAZA WIRES LIMITED,INE0INJ01017,33,55.31,35.52,- 0.34,1825.23,1172.16,(42.43),-653.07,(35.78),
POPVEH,POPULAR VEHICLES AND SERV LTD,INE772T01024,8,140.58,110.08,+ 1.21,1124.64,880.64,0.00,-244.00,(21.70),
POWINF,POWERGRID INFRA. INVEST. TRUST,INE0GGX23010,7,81.76,91.70,- 0.17,572.32,641.90,0.00,69.58,12.16,
PUNBAN,PUNJAB NATIONAL BANK,INE160A01022,0,0.00,123.74,- 0.20,0.00,0.00,45.92,0.00,0.00,
RAJEXP,RAJESH EXPORTS LIMITED,INE343B01030,16,291.18,159.50,- 0.04,4658.88,2552.00,0.00,-2106.88,(45.22),
REFIND,REFEX INDUSTRIES LIMITED,INE056I01025,0,0.00,235.00,+ 0.69,0.00,0.00,47.42,0.00,0.00,
RELIND,RELIANCE INDUSTRIES,INE002A01018,5,1487.23,1407.50,+ 0.21,7436.15,7037.50,188.50,-398.65,(5.36),
RELNIP,NIPPON LIFE IND ASSET MANAGEME,INE298J01013,0,0.00,828.40,- 0.59,0.00,0.00,396.44,0.00,0.00,
RKSWA,R K SWAMY LIMITED,INE0NQ801033,3,242.27,99.00,+ 0.66,726.81,297.00,0.00,-429.81,(59.14),
SAIL,STEEL AUTHORITY OF INDIA LTD,INE114A01011,5,150.82,146.35,- 0.07,754.10,731.75,54.07,-22.35,(2.96),
SBICAR,SBI CARDS AND PAYMENT SERV LTD,INE018E01016,12,700.44,782.65,- 0.13,8405.28,9391.80,255.14,986.52,11.74,
SBIGOL,SBI-ETF GOLD,INF200KA16D8,10,117.08,138.59, 0.00,1170.80,1385.90,0.00,215.10,18.37,
SBISIL,SBI SILVER ETF,INF200KB1217,112,247.06,316.92, 0.00,27670.72,35495.04,0.00,7824.32,28.28,
SHACRO,SHARDA CROPCHEM LIMITED,INE221J01015,0,0.00,805.00,+ 0.26,0.00,0.00,419.88,0.00,0.00,
SRERAY,TGV SRAAC LIMITED,INE284B01028,3,82.22,91.35, 0.00,246.66,274.05,122.39,27.39,11.10,
STABAN,STATE BANK OF INDIA,INE062A01020,0,0.00,1029.45,+ 0.08,0.00,0.00,561.52,0.00,0.00,
SULVIN,SULA VINEYARDS LIMITED,INE142Q01026,0,0.00,195.00,+ 0.39,0.00,0.00,(527.86),0.00,0.00,
TATCAP,TATA CAPITAL LIMITED,INE976I01016,45,326.00,358.30,- 0.03,14670.00,16123.50,27.42,1453.50,9.91,
TATMOT,TATA MOTORS PAX VEHICLES LTD,INE155A01022,9,360.97,339.00,- 0.07,3248.73,3051.00,0.00,-197.73,(6.09),
TATSTE,TATA STEEL LIMITED,INE081A01020,1,173.30,184.50,+ 0.05,173.30,184.50,0.00,11.20,6.46,
TCM,TCM LTD,INE034F01010,0,0.00,55.00, 0.00,0.00,0.00,34.37,0.00,0.00,
TRILTD,TRIDENT LTD,INE064C01022,25,27.26,24.77,+ 1.02,681.50,619.25,49.42,-62.25,(9.13),
TUTALK,TUTICORIN ALKALI CHEMICALS & F,INE400A01014,5,53.71,46.22, 0.00,268.55,231.10,14.86,-37.45,(13.95),
UDACEM,UDAIPUR CEMENT WORKS LIMITED,INE225C01029,0,0.00,36.23, 0.00,0.00,0.00,29.06,0.00,0.00,
UDAINF,UDAYSHIVAKUMAR INFRA LIMITED,INE0N0Y01013,5,23.57,20.28,- 0.59,117.85,101.40,70.67,-16.45,(13.96),
VAIGLO,VAIBHAV GLOBAL LIMITED,INE884A01027,10,243.33,204.50,+ 0.11,2433.30,2045.00,40.59,-388.30,(15.96),
VEDLIM,VEDANTA LIMITED,INE205A01025,0,0.00,675.80,- 0.13,0.00,0.00,381.19,0.00,0.00,
VRAIRO,VRAJ IRON AND STEEL LIMITED,INE0S2V01010,0,0.00,121.00,- 0.12,0.00,0.00,(921.73),0.00,0.00,
WIPRO,WIPRO LTD,INE075A01022,18,233.35,239.70,+ 0.06,4200.30,4314.60,(1425.70),114.30,2.72,
ZEROSE,ZERODHA SILVER ETF,INF0R8F01091,130,25.75,32.81, 0.00,3347.50,4265.30,0.00,917.80,27.42,
ZOMLIM,ETERNAL LIMITED,INE758T01015,0,0.00,282.80,- 0.25,0.00,0.00,180.46,0.00,0.00,
