Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
MAHLO,MAHINDRA LOGISTICS LIMITED,INE766P01016,0,0.00,290.30,- 0.38,0.00,0.00,57.04,0.00,0.00,
MANAFI,MANAPPURAM FINANCE LIMITED,INE522D01027,0,0.00,294.75,- 1.82,0.00,0.00,1001.30,0.00,0.00,
MOTGTF,MOTILAL OSWAL GOLD ETF,INF247L01FY4,25,137.07,152.25,+ 3.61,3426.75,3806.25,0.00,379.50,11.07,
MOTSIL,MOTILAL OSWAL SILVER ETF,INF247L01FZ1,10,245.57,307.54,+ 6.94,2455.70,3075.40,0.00,619.70,25.24,
MOTSU,MOTHERSON SUMI WIRING IND LTD,INE0FS801015,5,47.09,42.98,- 2.16,235.45,214.90,4.02,-20.55,(8.73),
MOTSUM,SAMVARDHANA MOTHERSON INT LTD,INE775A01035,0,0.00,108.40,- 2.63,0.00,0.00,148.59,0.00,0.00,
NAVCOR,NAVKAR CORPORATION LIMITED,INE278M01019,0,0.00,97.39,- 2.36,0.00,0.00,22.19,0.00,0.00,
NBCC,NBCC (INDIA) LIMITED,INE095N01031,4,108.73,95.08,- 3.65,434.92,380.32,0.00,-54.60,(12.55),
NIFBEE,NIPPON INDIA ETF NIFTY 50 BEES,INF204KB14I2,10,279.41,283.91,- 0.94,2794.10,2839.10,283.24,45.00,1.61,
NIPSIL,NIPPON INDIA SILVER ETF,INF204KC1402,11,292.69,292.73,+ 5.96,3219.59,3220.03,3209.43,0.44,0.01,
NIVMER,STARTECK FINANCE LIMITED,INE992I01013,0,0.00,270.90,- 1.31,0.00,0.00,(71.74),0.00,0.00,
NMDSTE,NMDC STEEL LIMITED,INE0NNS01018,0,0.00,39.59,- 2.10,0.00,0.00,8.69,0.00,0.00,
NTPC,NTPC LIMITED,INE733E01010,3,325.00,336.70,- 1.68,975.00,1010.10,0.00,35.10,3.60,
ONGC,OIL AND NATURAL GAS CORPORATIO,INE213A01029,10,235.18,245.47,+ 0.60,2351.80,2454.70,75.38,102.90,4.38,
PARDEF,PARAS DEFENCE AND SPACE TECH,INE045601023,0,0.00,622.95,- 3.89,0.00,0.00,296.46,0.00,0.00,
PARMIL,PARAG MILK FOODS LIMITED,INE883N01014,0,0.00,260.85,- 3.48,0.00,0.00,7.60,0.00,0.00,
PARPHA,PARMAX PHARMA LIMITED,INE240T01014,2,29.31,32.45,- 7.39,58.62,64.90,65.46,6.28,10.71,
PARPHO,PARADEEP PHOSPHATES LIMITED,INE088F01024,0,0.00,129.06,- 3.84,0.00,0.00,8.83,0.00,0.00,
PCJEW,PC JEWELLER LIMITED,INE785M01021,8,11.23,10.69,+ 0.28,89.84,85.52,61.00,-4.32,(4.81),
PIDIND,PIDILITE INDUSTRIES LTD,INE318A01026,0,0.00,1447.90,- 0.34,0.00,0.00,547.33,0.00,0.00,
PLAWIR,PLAZA WIRES LIMITED,INE0INJ01017,35,54.19,35.54,- 3.13,1896.65,1243.90,(42.43),-652.75,(34.42),
POPVEH,POPULAR VEHICLES AND SERV LTD,INE772T01024,8,140.58,108.10,- 3.13,1124.64,864.80,0.00,-259.84,(23.10),
