Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
AARIND,AARTI INDUSTRIES LTD,INE769A01020,3,357.62,455.25,+ 1.98,1072.86,1365.75,(311.83),292.89,27.30,
ABAHOL,ABANS FINANCIAL SERVICES LTD,INE00ZE01026,0,0.00,201.18,+ 0.06,0.00,0.00,(1976.61),0.00,0.00,
ADAENT,ADANI ENTERPRISES LIMITED,INE423A01024,3,2212.44,2184.60,+ 2.25,6637.32,6553.80,2766.27,-83.52,(1.26),
ADAGAS,ADANI TOTAL GAS LIMITED,INE399L01023,10,648.70,529.05,+ 1.76,6487.00,5290.50,(141.48),-1196.50,(18.44),
ADAPOR,ADANI PORT AND SPECIAL ECONO,INE742F01042,4,1540.22,1540.10,+ 1.39,6160.88,6160.40,2337.27,-0.48,(0.01),
ADAPOW,ADANI POWER LIMITED,INE814H01029,2,31.68,142.77,+ 2.05,63.36,285.54,6092.43,222.18,350.66,
ADATRA,ADANI ENERGY SOLUTIONS LIMITED,INE931S01010,7,893.31,1003.45,+ 1.56,6253.17,7024.15,0.00,770.98,12.33,
ADAWIL,AWL AGRI BUSINESS LIMITED,INE699H01024,0,0.00,203.90,+ 1.16,0.00,0.00,10297.43,0.00,0.00,
AETIND,AETHER INDUSTRIES LIMITED,INE0BWX01014,1,642.00,965.80,- 0.11,642.00,965.80,3717.45,323.80,50.44,
AGRPHO,AGRO PHOS INDIA LIMITED,INE740V01019,0,0.00,34.87,- 1.55,0.00,0.00,(130.66),0.00,0.00,
AGSTRA,AGS TRANSACT TECHNOLOGIES LTD,INE583L01014,0,0.00,3.74,- 2.35,0.00,0.00,(58.59),0.00,0.00,
AKMFIN,AKME FINTRADE INDIA LIMITED,INE916Y01027,179,10.69,4.97,- 0.20,1913.51,889.63,(4.44),-1023.88,(53.51),
ANUPHA,ANUH PHARMA LTD,INE489G01022,11,80.41,81.08,- 0.11,884.51,891.88,30.61,7.37,0.83,
APOTYR,APOLLO TYRES LTD,INE438A01022,1,508.77,479.25,- 2.12,508.77,479.25,0.00,-29.52,(5.80),
ASHLEY,ASHOK LEYLAND LTD,INE208A01029,0,0.00,205.86,+ 0.60,0.00,0.00,35.81,0.00,0.00,
ASIPAI,ASIAN PAINTS INDIA LTD,INE021A01026,3,2482.82,2397.20,+ 1.30,7448.46,7191.60,0.00,-256.86,(3.45),
AVESUP,AVENUE SUPERMARTS LTD DMART,INE192R01011,4,3822.75,3880.70,- 0.73,15291.00,15522.80,0.00,231.80,1.52,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,2,911.11,1012.75,- 1.17,1822.22,2025.50,0.00,203.28,11.16,
BANBAN,BANDHAN BANK LIMITED,INE545U01014,5,189.75,167.93,+ 1.51,948.75,839.65,(3.73),-109.10,(11.50),
BANBEE,NIPPON INDIA ETF NIF BANK BEES,INF204KB15I9,1,439.76,628.61,+ 0.99,439.76,628.61,46.16,188.85,42.94,
BANIND,BANK OF INDIA,INE084A01016,0,0.00,165.61,+ 2.36,0.00,0.00,27.25,0.00,0.00,
BHAPET,BHARAT PETROLEUM CORPN LTD,INE029A01011,5,389.18,374.35,+ 0.07,1945.90,1871.75,1837.65,-74.15,(3.81),
BHEL,BHARAT HEAVY ELECTRICALS LTD,INE257A01026,0,0.00,262.50,+ 2.64,0.00,0.00,19.49,0.00,0.00,
BIOCON,BIOCON LIMITED,INE376G01013,1,315.38,380.35,+ 0.64,315.38,380.35,259.75,64.97,20.60,
BODCHE,BODAL CHEMICALS LTD,INE338D01028,10,54.15,48.00,- 3.61,541.50,480.00,12.22,-61.50,(11.36),
BRIIND,BRITANNIA INDUSTRIES LTD,INE216A01030,0,0.00,6106.00,+ 2.10,0.00,0.00,(51.52),0.00,0.00,
CAMACT,CAMPUS ACTIVEWEAR LIMITED,INE278Y01022,15,299.44,270.20,- 0.95,4491.60,4053.00,1921.44,-438.60,(9.76),
CASIND,CASTROL INDIA LIMITED,INE172A01027,0,0.00,186.29,+ 0.59,0.00,0.00,70.63,0.00,0.00,
CESC,CESC LIMITED,INE486A01021,0,0.00,154.47,+ 2.75,0.00,0.00,120.29,0.00,0.00,
CIPLA,CIPLA LIMITED,INE059A01026,6,1415.74,1356.40,+ 1.87,8494.44,8138.40,0.00,-356.04,(4.19),
CITUNI,CITY UNION BANK LTD,INE491A01021,1,123.10,275.90,- 2.89,123.10,275.90,528.31,152.80,124.13,
COLPAL,COLGATE-PALMOLIVE (INDIA) LTD,INE259A01022,5,2059.10,2118.60,- 0.17,10295.50,10593.00,52.11,297.50,2.89,
CREGRA,CREDITACCESS GRAMEEN LIMITED,INE741K01010,1,924.43,1253.70,- 1.28,924.43,1253.70,1133.97,329.27,35.62,
CROGR,CROMPTON GREAVES CONS ELEC LTD,INE299U01018,0,0.00,272.66,+ 1.92,0.00,0.00,97.49,0.00,0.00,
DABIND,DABUR INDIA LTD,INE016A01026,65,496.49,514.25,+ 0.35,32271.85,33426.25,1378.28,1154.40,3.58,
DCB,DCB BANK LIMITED,INE503A01015,0,0.00,192.82,+ 1.47,0.00,0.00,(45.28),0.00,0.00,
DELCOR,DELTA CORP LIMITED,INE124G01033,15,95.77,67.63,- 1.10,1436.55,1014.45,24.86,-422.10,(29.38),
DHASUG,DHAMPUR SUGAR MILLS LTD,INE041A01016,53,153.35,117.04,- 0.79,8127.55,6203.12,136.07,-1924.43,(23.68),
DIVLAB,DIVIS LABORATORIES LIMITED,INE361B01024,0,0.00,6149.50,- 0.31,0.00,0.00,261.68,0.00,0.00,
DOLINV,DOLAT ALGOTECH LIMITED,INE966A01022,0,0.00,78.26,+ 1.76,0.00,0.00,98.83,0.00,0.00,
ELIELE,ELIN ELECTRONICS LIMITED,INE050401020,0,0.00,138.63,- 3.12,0.00,0.00,87.35,0.00,0.00,
EMBOFF,EMBASSY OFFICE PARKS REIT,INE041025011,1,309.77,444.79,+ 0.99,309.77,444.79,139.53,135.02,43.59,
ESSSH,ESSAR SHIPPING LIMITED,INE122M01019,0,0.00,27.73,- 8.57,0.00,0.00,(456.21),0.00,0.00,
FININD,FINOLEX INDUSTRIES LTD,INE183A01024,0,0.00,188.93,+ 0.11,0.00,0.00,45.48,0.00,0.00,
FLAWRI,FLAIR WRITING INDUSTRIE LTD,INE00Y201027,3,210.90,320.65,- 0.74,632.70,961.95,434.96,329.25,52.04,
FSNECO,FSN ECOMMERCE VENTURES NYKAA,INE388Y01029,0,0.00,275.21,+ 1.57,0.00,0.00,33.26,0.00,0.00,
FUTVEN,FUTURE CONSUMER LIMITED,INE220J01025,0,0.00,0.36, 0.00,0.00,0.00,(3.95),0.00,0.00,
GAIL,GAIL (INDIA) LIMITED,INE129A01019,0,0.00,164.82,+ 1.94,0.00,0.00,21.61,0.00,0.00,
GOLDEX,NIPPON INDIA ETF GOLD BEES,INF204KB17I5,4,134.96,126.92,+ 0.65,539.84,507.68,(5244.65),-32.16,(5.96),
GOPSNA,GOPAL SNACKS LTD,INE0L9R01028,2,276.00,309.00,+ 3.19,552.00,618.00,294.20,66.00,11.96,
GSPL,GUJARAT STATE PETRONET LIMITED,INE246F01010,0,0.00,308.35,- 0.52,0.00,0.00,139.28,0.00,0.00,
GUJGA,GUJARAT GAS LIMITED,INE844O01030,0,0.00,417.70,- 1.58,0.00,0.00,332.87,0.00,0.00,
HDFBAN,HDFC BANK LIMITED,INE040A01034,2,908.77,925.80,+ 2.42,1817.54,1851.60,(58.22),34.06,1.87,
