Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
PCJEW,PC JEWELLER LIMITED,INE785M01021,8,11.23,10.42,- 2.25,89.84,83.36,61.00,-6.48,(7.21),
RAJEXP,RAJESH EXPORTS LIMITED,INE343B01030,16,291.18,168.68,- 1.76,4658.88,2698.88,0.00,-1960.00,(42.07),
VAIGLO,VAIBHAV GLOBAL LIMITED,INE884A01027,10,243.33,222.66,- 2.33,2433.30,2226.60,40.59,-206.70,(8.49),
INFTEC,INFOSYS LTD,INE009A01021,1,1758.43,1614.10,+ 0.05,1758.43,1614.10,0.00,-144.33,(8.21),
WIPRO,WIPRO LTD,INE075A01022,18,233.35,261.95,- 0.10,4200.30,4715.10,(1425.70),514.80,12.26,
UDAINF,UDAYSHIVAKUMAR INFRA LIMITED,INE0N0Y01013,5,23.57,22.81,+ 1.60,117.85,114.05,70.67,-3.80,(3.22),
HDFSTA,HDFC LIFE INSURANCE COM LTD,INE795G01014,1,595.45,749.90,- 1.09,595.45,749.90,142.94,154.45,25.94,
DELCOR,DELTA CORP LIMITED,INE124G01033,11,105.84,67.59,- 1.31,1164.24,743.49,24.86,-420.75,(36.14),
HINCOP,HINDUSTAN COPPER LIMITED,INE531E01026,2,519.42,520.80,+ 0.01,1038.84,1041.60,0.00,2.76,0.27,
MADCOP,MADHAV COPPER LIMITED,INE813V01022,2,65.13,74.60,+ 5.00,130.26,149.20,0.00,18.94,14.54,
FLAWRI,FLAIR WRITING INDUSTRIE LTD,INE00Y201027,13,241.71,317.50,- 0.24,3142.23,4127.50,37.14,985.27,31.36,
PLAWIR,PLAZA WIRES LIMITED,INE0INJ01017,30,56.89,39.67,- 1.73,1706.70,1190.10,(42.43),-516.60,(30.27),
POPVEH,POPULAR VEHICLES AND SERV LTD,INE772T01024,8,140.58,113.50,- 0.22,1124.64,908.00,0.00,-216.64,(19.26),
RKSWA,R K SWAMY LIMITED,INE0NQ801033,3,242.27,108.92,- 0.29,726.81,326.76,0.00,-400.05,(55.04),
ASIPAI,ASIAN PAINTS INDIA LTD,INE021A01026,2,2476.87,2825.50,+ 1.40,4953.74,5651.00,0.00,697.26,14.08,
ANUPHA,ANUH PHARMA LTD,INE489G01022,10,81.23,76.64,- 1.19,812.30,766.40,30.61,-45.90,(5.65),
