Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
MOTSU,MOTHERSON SUMI WIRING IND LTD,INE0FS801015,5,47.09,47.84,- 1.69,235.45,239.20,4.02,3.75,1.59,
MOTSUM,SAMVARDHANA MOTHERSON INT LTD,INE775A01035,0,0.00,115.64,- 2.09,0.00,0.00,148.59,0.00,0.00,
NAVCOR,NAVKAR CORPORATION LIMITED,INE278M01019,0,0.00,95.48,- 1.26,0.00,0.00,22.19,0.00,0.00,
NBCC,NBCC (INDIA) LIMITED,INE095N01031,1,126.20,109.20,- 2.58,126.20,109.20,0.00,-17.00,(13.47),
NIFBEE,NIPPON INDIA ETF NIFTY 50 BEES,INF204KB14I2,5,268.57,290.59,- 0.80,1342.85,1452.95,283.24,110.10,8.20,
NIPSIL,NIPPON INDIA SILVER ETF,INF204KC1402,110,217.15,230.37,+ 3.06,23886.50,25340.70,0.00,1454.20,6.09,
NIVMER,STARTECK FINANCE LIMITED,INE992I01013,0,0.00,272.95,+ 0.96,0.00,0.00,(71.74),0.00,0.00,
NMDSTE,NMDC STEEL LIMITED,INE0NNS01018,0,0.00,41.72,- 2.59,0.00,0.00,8.69,0.00,0.00,
NTPC,NTPC LIMITED,INE733E01010,3,325.00,336.00,- 2.44,975.00,1008.00,0.00,33.00,3.38,
ONGC,OIL AND NATURAL GAS CORPORATIO,INE213A01029,10,235.18,234.09,+ 1.15,2351.80,2340.90,75.38,-10.90,(0.46),
PARDEF,PARAS DEFENCE AND SPACE TECH,INE045601023,0,0.00,680.20,- 1.36,0.00,0.00,296.46,0.00,0.00,
PARMIL,PARAG MILK FOODS LIMITED,INE883N01014,0,0.00,270.45,- 3.51,0.00,0.00,7.60,0.00,0.00,
PARPHA,PARMAX PHARMA LIMITED,INE240T01014,2,29.31,39.18,+ 5.92,58.62,78.36,65.46,19.74,33.67,
PARPHO,PARADEEP PHOSPHATES LIMITED,INE088F01024,0,0.00,147.91,- 2.46,0.00,0.00,8.83,0.00,0.00,
PCJEW,PC JEWELLER LIMITED,INE785M01021,8,11.23,10.42,- 2.25,89.84,83.36,61.00,-6.48,(7.21),
PIDIND,PIDILITE INDUSTRIES LTD,INE318A01026,0,0.00,1484.30,- 1.10,0.00,0.00,547.33,0.00,0.00,
PLAWIR,PLAZA WIRES LIMITED,INE0INJ01017,30,56.89,39.67,- 1.73,1706.70,1190.10,(42.43),-516.60,(30.27),
POPVEH,POPULAR VEHICLES AND SERV LTD,INE772T01024,8,140.58,113.50,- 0.22,1124.64,908.00,0.00,-216.64,(19.26),
POWINF,POWERGRID INFRA. INVEST. TRUST,INE0GGX23010,7,81.76,91.98,- 0.90,572.32,643.86,0.00,71.54,12.50,
PUNBAN,PUNJAB NATIONAL BANK,INE160A01022,0,0.00,122.90,+ 0.07,0.00,0.00,45.92,0.00,0.00,
RAJEXP,RAJESH EXPORTS LIMITED,INE343B01030,16,291.18,168.68,- 1.76,4658.88,2698.88,0.00,-1960.00,(42.07),
REFIND,REFEX INDUSTRIES LIMITED,INE056I01025,0,0.00,236.70,- 1.74,0.00,0.00,47.42,0.00,0.00,
RELIND,RELIANCE INDUSTRIES,INE002A01018,3,1535.63,1475.30,+ 0.32,4606.89,4425.90,188.50,-180.99,(3.93),
RELNIP,NIPPON LIFE IND ASSET MANAGEME,INE298J01013,0,0.00,878.90,- 1.80,0.00,0.00,396.44,0.00,0.00,
RKSWA,R K SWAMY LIMITED,INE0NQ801033,3,242.27,108.92,- 0.29,726.81,326.76,0.00,-400.05,(55.04),
SAIL,STEEL AUTHORITY OF INDIA LTD,INE114A01011,5,150.82,145.67,- 0.54,754.10,728.35,54.07,-25.75,(3.41),
SBICAR,SBI CARDS AND PAYMENT SERV LTD,INE018E01016,12,700.44,863.20,- 1.03,8405.28,10358.40,255.14,1953.12,23.24,
SBIGOL,SBI-ETF GOLD,INF200KA16D8,10,117.08,117.05,+ 1.14,1170.80,1170.50,0.00,-0.30,(0.03),
SBISIL,SBI SILVER ETF,INF200KB1217,110,246.68,235.98,+ 2.90,27134.80,25957.80,0.00,-1177.00,(4.34),
SHACRO,SHARDA CROPCHEM LIMITED,INE221J01015,0,0.00,797.65,- 1.05,0.00,0.00,419.88,0.00,0.00,
SRERAY,TGV SRAAC LIMITED,INE284B01028,3,82.22,101.45,- 2.45,246.66,304.35,122.39,57.69,23.39,
STABAN,STATE BANK OF INDIA,INE062A01020,0,0.00,1000.50,+ 0.25,0.00,0.00,561.52,0.00,0.00,
SULVIN,SULA VINEYARDS LIMITED,INE142Q01026,0,0.00,200.62,- 2.77,0.00,0.00,(527.86),0.00,0.00,
TATCAP,TATA CAPITAL LIMITED,INE976I01016,45,326.00,360.00,+ 1.55,14670.00,16200.00,27.42,1530.00,10.43,
